q_id,question,reference_answer,target_file,target_page,evidence_text
21,将来予測に影響を与える経済情勢の要素には何が含まれますか？,日本、北米、欧州、アジアおよび当社が営業活動を行っているその他の国の自動車市場に影響を与える経済情勢、市場の需要ならびにそれらにおける競争環境が含まれます。,02_03_トヨタ自_2026年3月期第３四半期決算報告プレゼンテーション資料 .pdf,2,日本、北米、欧州、アジアおよび当社が営業活動を行っているその他の国の自動車市場に影響を与える経済情勢、市場の需要ならびにそれらにおける競争環境
22,2026年3月期第3四半期累計実績の営業利益はいくらでしたか？,"3兆1,967億円です。",02_03_トヨタ自_2026年3月期第３四半期決算報告プレゼンテーション資料 .pdf,3,"営業利益3兆1,967億円(前年同期比△4,827億円)"
23,2025年4月から12月までの9ヶ月累計における連結販売台数の合計は何千台でしたか？,"7,302千台です。",02_03_トヨタ自_2026年3月期第３四半期決算報告プレゼンテーション資料 .pdf,5,"7,302"
24,2025年4月から12月までの9ヶ月累計の営業収益はいくらでしたか？,"380,876億円です。",02_03_トヨタ自_2026年3月期第３四半期決算報告プレゼンテーション資料 .pdf,6,"営業収益 380,876"
25,2025年4月から2026年3月までの通期見通しにおけるトヨタ・レクサスの電動車販売台数（比率）はどのくらいですか？,"5,060千台で、比率は48.2%です。",02_03_トヨタ自_2026年3月期第３四半期決算報告プレゼンテーション資料 .pdf,11,"電動車 [比率] 5,060 [48.2%]"
26,ブラジルのポルトフェリス工場が被災した後、組立工場は被災から何ヶ月後に再開しましたか？,被災から2ヶ月後に組立工場が再開しました。,02_03_トヨタ自_2026年3月期第３四半期決算報告プレゼンテーション資料 .pdf,12,被災から2ヶ月後に組立工場再開
27,2025年4月から2026年3月までの通期見通しにおける親会社の所有者に帰属する当期利益はいくらですか？,"35,700億円です。",02_03_トヨタ自_2026年3月期第３四半期決算報告プレゼンテーション資料 .pdf,13,"親会社の所有者に帰属する当期利益 35,700"
28,2026年3月期 第3四半期決算説明会の開催日はいつですか？,2026年2月10日です。,02_04_マツダ_2026年３月期 第3四半期決算 プレゼンテーション資料 .pdf,1,2026年2月10日
29,2026年3月期 第3四半期（3ヵ月）の営業利益と当期純利益はそれぞれ何億円でしたか？,営業利益は308億円、当期純利益は306億円でした。,02_04_マツダ_2026年３月期 第3四半期決算 プレゼンテーション資料 .pdf,4,営業利益308億円/当期純利益306億円/フリー・キャッシュ・フロー黒字化
30,2026年3月期 第3四半期累計における欧州のグローバル販売台数は何千台でしたか？,114千台でした。,02_04_マツダ_2026年３月期 第3四半期決算 プレゼンテーション資料 .pdf,6,欧州 130 74 41 114 -15 -12%
31,2026年3月期 第3四半期累計の売上高営業利益率は何%でしたか？,-0.7%でした。,02_04_マツダ_2026年３月期 第3四半期決算 プレゼンテーション資料 .pdf,7,売上高営業利益率 4.0% -2.4% 2.4% -0.7% -4.7 pts
32,2026年3月期通期のグローバル販売台数見通しは何千台ですか？,"1,280千台です。",02_04_マツダ_2026年３月期 第3四半期決算 プレゼンテーション資料 .pdf,10,"合計 1,303 1,280 -23 -2% -20"
33,新型MAZDA CX-5の日本向け本格生産はいつ開始予定ですか？,4月より本格生産開始予定です。,02_04_マツダ_2026年３月期 第3四半期決算 プレゼンテーション資料 .pdf,14,日本向けは4月より本格生産開始予定
34,"マツダは2,300億円超の関税コスト想定をどのように黒字転換させましたか？",お取引先、販売店、金融機関、行政など関係者との総力により、短期間で黒字へ反転させました。,02_04_マツダ_2026年３月期 第3四半期決算 プレゼンテーション資料 .pdf,16,"お取引先、販売店、金融機関、行政など関係者との総力により、2,300億円超の関税コスト想定を短期間で黒字転換へ"
35,マツダの今後の展望におけるPhase 2の期間は何年から何年までですか？,2025年から2027年までです。,02_04_マツダ_2026年３月期 第3四半期決算 プレゼンテーション資料 .pdf,19,PHASE2 2025-2027
36,欧州市場において、長安汽車との協業バッテリーEV第1弾のMAZDA6eはいつから本格販売を開始し、月販何台と好調に推移していますか？,"25年秋より本格販売を開始し、月販2,000台と好調に推移しています。",02_04_マツダ_2026年３月期 第3四半期決算 プレゼンテーション資料 .pdf,25,"長安汽車との協業バッテリーEV第1弾のMAZDA6eは25年秋より本格販売し月販2,000台と好調に推移"
37,2026年3月期の一株当たり配当金（見通し）は合計で何円ですか？,55円です。,02_04_マツダ_2026年３月期 第3四半期決算 プレゼンテーション資料 .pdf,31,2026年3月期 55 30 (見通し) 25
38,このプレゼンテーション資料のタイトルと対象となる会計期間は何ですか？,この資料は「株式会社レオパレス21 2026年3月期第3四半期 プレゼンテーション資料」です。,02_05_レオパレス２１_2026年3月期 第3四半期プレゼンテーション資料 .pdf,1,株式会社レオパレス212026年3月期第3四半期 プレゼンテーション資料
39,2026年3月期第3四半期累計の純利益はいくらで、計画と比較してどうでしたか？,2026年3月期第3四半期累計の純利益は100億円で、計画比+4.3%を達成しました。,02_05_レオパレス２１_2026年3月期 第3四半期プレゼンテーション資料 .pdf,3,3Q累計業績は、売上高から純利益まで計画を達成・純利益:100億円(計画比+4.3%)
40,2026年3月期第3四半期累計のEPS（1株当たり当期純利益）はいくらでしたか？,2026年3月期第3四半期累計のEPSは29.88円でした。,02_05_レオパレス２１_2026年3月期 第3四半期プレゼンテーション資料 .pdf,5,EPS29.88円
41,2026年3月期において、12月の成約家賃単価（指数）は過去最高を記録しましたが、その指数はいくつでしたか？,2026年3月期において、12月の成約家賃単価（指数）は過去最高の118を記録しました。,02_05_レオパレス２１_2026年3月期 第3四半期プレゼンテーション資料 .pdf,11,3Q末の成約家賃単価(指数)は過去最高の118を記録。
42,2026年3月期第3四半期末時点での法人利用の構成比はどのくらいですか？,2026年3月期第3四半期末時点での法人利用の構成比は過去最大の64.9%です。,02_05_レオパレス２１_2026年3月期 第3四半期プレゼンテーション資料 .pdf,14,法人利用の構成比は過去最大の64.9%。
43,外国籍利用戸数は合計で何戸あり、全利用戸数に占める割合はどのくらいですか？,"外国籍利用は59,254戸で、利用戸数全体の13.0%を占めています。",02_05_レオパレス２１_2026年3月期 第3四半期プレゼンテーション資料 .pdf,16,"外国籍利用は59,254戸と利用戸数全体の13.0%を占めており、ともに過去最大。"
44,2026年3月期第3四半期累計の受注戸数と受注高は、通期計画と比較してどうでしたか？,"2026年3月期第3四半期累計の受注戸数は1,140戸（通期計画比103.6%）、受注高は10,453百万円（通期計画比104.5%）で、3Q時点で通期計画を達成しました。",02_05_レオパレス２１_2026年3月期 第3四半期プレゼンテーション資料 .pdf,19,"受注戸数と受注高は3Q時点で通期計画を達成し、本格再開初年度の26/3期は順調な進捗。受注戸数1,140戸103.6%1,100戸受注高10,453百万円104.5%10,000百万円"
45,新商品『ArLk(アルク)』の主な特徴は何ですか？,新商品『ArLk(アルク)』は、空間を広く使える壁掛けテレビの標準装備、調理スタイルの変化に対応する卓上IHクッキングヒーターの採用、室内建具の少ない設計による建築コスト抑制と高いスペースパフォーマンス、火災時の延焼を防止する強化天井の採用が主な特徴です。,02_05_レオパレス２１_2026年3月期 第3四半期プレゼンテーション資料 .pdf,20,ひとり暮らしの新たなスタイルに対応空間を広く使える壁掛けテレビを標準装備。壁掛け金具は可動式であり、ライフスタイルに合わせて調整可能。また、調理スタイルの変化に合わせて、キッチンの加熱機器は、お手入れも簡単な卓上IHクッキングヒーターを採用。■ 室内建具の少ない設計建具レスにより、旧商品と比較して建築コストを抑制。空間をシームレスにつないだことで、寒暖差なく過ごせる一体空調の設計。居住スペースが広く感じられ、高いスペースパフォーマンスを実現。■ 強化天井の採用火災時の延焼を防止する強化天井を採用。遮音性の確保、防火性能の向上に加え、施工性の改善も促進。
46,2028年3月期にレオパレス21が目指す配当性向の目標は何パーセントですか？,レオパレス21は、2028年3月期に配当性向30%を目指しています。,02_05_レオパレス２１_2026年3月期 第3四半期プレゼンテーション資料 .pdf,27,2028年3月期には配当性向30%を目指す。28/3期配当性向30%(目標)
47,2026年3月期 第3四半期決算プレゼンテーション資料を発行した会社の名称と証券コードは何ですか？,大阪ガス株式会社、証券コード9532です。,02_06_大瓦斯_Daigasグループ　2026年3月期　第3四半期決算　プレゼンテーション資料 .pdf,1,大阪ガス株式会社証券コード 9532
48,26.3期 第3四半期決算のポイントとして、売上高、経常利益、親会社株主に帰属する当期純利益はそれぞれどのような状況でしたか？,売上高は概ね前年並み、経常利益は増益、親会社株主に帰属する当期純利益も増益となりました。,02_06_大瓦斯_Daigasグループ　2026年3月期　第3四半期決算　プレゼンテーション資料 .pdf,4,√ 売上高は、概ね前年並み。√ 経常利益は、海外エネルギー事業におけるフリーポート液化基地(LNG)や米国上流事業等の好調、国内エネルギー事業におけるタイムラグ差益の拡大などにより、増益となった。√ 親会社株主に帰属する当期純利益は、関係会社売却による特別利益等もあり増益となった。
49,26.3期 第3四半期決算における経常利益はいくらで、前年同期と比較してどれだけ増加しましたか？,"経常利益は1,631億円で、前年同期と比較して376億円増加しました。",02_06_大瓦斯_Daigasグループ　2026年3月期　第3四半期決算　プレゼンテーション資料 .pdf,4,"経常利益 1,631 1,255 +376"
50,26.3期 第3四半期決算において、経常利益が増益となった主な要因は何ですか？,海外エネルギー事業におけるフリーポート液化基地(LNG)や米国上流事業等の好調、国内エネルギー事業におけるタイムラグ差益の拡大などが主な要因です。,02_06_大瓦斯_Daigasグループ　2026年3月期　第3四半期決算　プレゼンテーション資料 .pdf,4,√ 経常利益は、海外エネルギー事業におけるフリーポート液化基地(LNG)や米国上流事業等の好調、国内エネルギー事業におけるタイムラグ差益の拡大などにより、増益となった。
51,26.3期 第3四半期決算において、国内エネルギーセグメントの利益は前年と比較してどれだけ増加しましたか？また、その主な要因は何ですか？,国内エネルギーセグメントの利益は250億円増加し、主な要因はタイムラグ差益の増加です。,02_06_大瓦斯_Daigasグループ　2026年3月期　第3四半期決算　プレゼンテーション資料 .pdf,5,国内エネルギー +250億円*1 380→631タイムラグ +132(54→187)ガス+96(46→142) 電力+36(7→44)
52,26.3期 第3四半期決算において、豪州エリアの経常利益への影響は前年と比較してどうでしたか？,豪州エリアは29億円の減益となり、上流事業の減益が要因です。,02_06_大瓦斯_Daigasグループ　2026年3月期　第3四半期決算　プレゼンテーション資料 .pdf,5,豪州エリア ▲29(135→105)- 上流事業の減益
53,2026年1月以降の26.3期通期見通しにおける原油価格と為替レートの前提は、どのように修正されましたか？,原油価格は70.0$/bblから65.0$/bblへ▲5.0$/bbl、為替レートは150.0円/$から155.0円/$へ+5.0円/$に修正されました。,02_06_大瓦斯_Daigasグループ　2026年3月期　第3四半期決算　プレゼンテーション資料 .pdf,6,● 原油価格 26年1月以降の油価前提 ▲5.0 $/bbl (70.0→65.0)● 為替レート 26年1月以降の為替前提 +5.0円/$ (150.0→155.0)
54,26.3期通期見通しにおける経常利益はいくらで、25.3期の実績と比較してどれだけ変動する見込みですか？,"経常利益は1,860億円の見込みで、25.3期実績の1,896億円と比較して36億円の減益となる見込みです。",02_06_大瓦斯_Daigasグループ　2026年3月期　第3四半期決算　プレゼンテーション資料 .pdf,7,"経常利益 1,860 1,896 ▲36"
55,26.3期通期見通しにおける国内エネルギーセグメントの利益はいくらで、25.3期の実績と比較してどれだけ変動する見込みですか？,国内エネルギーセグメントの利益は755億円の見込みで、25.3期実績の775億円と比較して20億円の減益となる見込みです。,02_06_大瓦斯_Daigasグループ　2026年3月期　第3四半期決算　プレゼンテーション資料 .pdf,8,国内エネルギー ▲20億円*1 775→755
56,26.3期 第3四半期における成長投資額の実績はいくらでしたか？また、26.3期通期の成長投資額の見通しはいくらですか？,"26.3期 第3四半期の成長投資額の実績は1,580億円でした。26.3期通期の成長投資額の見通しは2,090億円です。",02_06_大瓦斯_Daigasグループ　2026年3月期　第3四半期決算　プレゼンテーション資料 .pdf,9,"√ 26.3期 第3四半期の成長投資額の実績は、1,580億円となった。成長投資(B) 1,580 2,090*1"
57,26.3期 第3四半期の実績におけるEBITDAはいくらでしたか？また、25.3期 第3四半期の実績と比較してどれだけ増加しましたか？,"26.3期 第3四半期のEBITDAは2,593億円で、25.3期 第3四半期の実績と比較して452億円増加しました。",02_06_大瓦斯_Daigasグループ　2026年3月期　第3四半期決算　プレゼンテーション資料 .pdf,11,"EBITDA*2 2,593 2,140 +452"
58,HOYA株式会社のFY25 Q3決算説明資料の作成日はいつですか？,2026年1月30日です。,02_07_ＨＯＹＡ_2026年3月期 第３四半期 決算説明会プレゼンテーション資料 .pdf,1,2026年1月30日
59,HOYA株式会社は将来予測に関する記述の正確性や完全性を保証していますか？,いいえ、当社はこうした情報の正確性または完全性を保証していません。,02_07_ＨＯＹＡ_2026年3月期 第３四半期 決算説明会プレゼンテーション資料 .pdf,2,当社はこうした情報の正確性または完全性を保証しません。
60,FY25 Q3のHOYA株式会社の連結売上収益はいくらでしたか？,"2,447億円でした。",02_07_ＨＯＹＡ_2026年3月期 第３四半期 決算説明会プレゼンテーション資料 .pdf,4,"売上収益2,447億円"
61,ライフケア事業のFY25 Q3における税前利益はいくらでしたか？,53.8億円でした。,02_07_ＨＯＹＡ_2026年3月期 第３四半期 決算説明会プレゼンテーション資料 .pdf,5,税前利益(十億円)53.8
62,情報・通信事業のFY25 Q3における売上収益はいくらでしたか？,92.9億円でした。,02_07_ＨＯＹＡ_2026年3月期 第３四半期 決算説明会プレゼンテーション資料 .pdf,11,売上収益(十億円)92.9
63,HOYA株式会社は今期2回目の自社株買いをいつの取締役会で決議しましたか？,1月30日の取締役会で決議しました。,02_07_ＨＯＹＡ_2026年3月期 第３四半期 決算説明会プレゼンテーション資料 .pdf,16,1/30取締役会にて今期2回目の自社株買いを決議。
64,HOYA株式会社のFY25通期における税前利益のガイダンスはいくらですか？,"3,240億円です。",02_07_ＨＯＹＡ_2026年3月期 第３四半期 決算説明会プレゼンテーション資料 .pdf,17,"税前利益2,6003,240+25%"
65,JCRファーマ株式会社の2026年3月期第3四半期決算説明会はいつ開催されましたか？,2026年1月28日です。,02_08_ＪＣＲファーマ_2026年3月期 第3四半期 決算説明会 プレゼンテーション資料 .pdf,1,2026年1月28日
66,本資料における数字の表示方法について、どのような注意事項がありますか？,本資料の数字は百万円以下切り捨て、パーセンテージは任意の位で四捨五入して表示されており、そのため合計数時に差異が生じる場合があります。,02_08_ＪＣＲファーマ_2026年3月期 第3四半期 決算説明会 プレゼンテーション資料 .pdf,2,本資料の数字は百万円以下切り捨て、パーセンテージを任意の位で四捨五入し表示しています。そのため、合計数時に差異が生じる場合があります。
67,2026年3月期第3四半期累計の売上高はいくらでしたか？,"30,353百万円でした。",02_08_ＪＣＲファーマ_2026年3月期 第3四半期 決算説明会 プレゼンテーション資料 .pdf,4,"売上高 25,880 30,353"
68,2026年3月期第3四半期累計における契約金収入の増減額と増減率はどのくらいですか？,"増減額は+4,732百万円、増減率は+914.9%です。",02_08_ＪＣＲファーマ_2026年3月期 第3四半期 決算説明会 プレゼンテーション資料 .pdf,5,"契約金収入 517 5,249 +4,732 +914.9%"
69,2026年3月期の通期連結業績予想において、売上高は前回発表予想から何億円上方修正されましたか？,腎性貧血治療薬やファブリー病治療薬等が想定を上回る見込みのため、17億円上方修正されました。,02_08_ＪＣＲファーマ_2026年3月期 第3四半期 決算説明会 プレゼンテーション資料 .pdf,6,売上高:腎性貧血治療薬やファブリー病治療薬等が想定を上回る見込みのため17億円上方修正
70,JCRファーマ株式会社は2025年12月にイタルファルマコ社とどのような契約を締結しましたか？,デュシェンヌ型筋ジストロフィー治療薬Givinostatの開発および商業化に関して、日本における独占的ライセンス契約を締結しました。また、希少疾病治療薬についての戦略的提携も行っています。,02_08_ＪＣＲファーマ_2026年3月期 第3四半期 決算説明会 プレゼンテーション資料 .pdf,8,"デュシェンヌ型筋ジストロフィー治療薬Givinostatの開発および商業化 - 日本における独占的ライセンス契約の締結
希少疾病治療薬についての戦略的提携 - 両社のポートフォリオの拡充 - 当社R&Dパイプラインおよび基盤技術における共同機会の探求"
71,日本におけるデュシェンヌ型筋ジストロフィー(DMD)患者の総数は約何名と推定されていますか？,"約3,500名と推定されています。",02_08_ＪＣＲファーマ_2026年3月期 第3四半期 決算説明会 プレゼンテーション資料 .pdf,9,"日本のDMD患者総数:約3,500名²"
72,Givinostatのデュシェンヌ型筋ジストロフィー治療薬としての開発段階と今後の計画は何ですか？,US、EU等で承認取得済みであり、2028年までの国内承認取得を目指し、開発計画を当局と相談中です。,02_08_ＪＣＲファーマ_2026年3月期 第3四半期 決算説明会 プレゼンテーション資料 .pdf,10,Givinostat デュシェンヌ型筋ジストロフィー US、EU等で承認取得済み ・ 2028年までの国内承認取得を目指し、開発計画を当局と相談中
73,アガルシダーゼ ベータBS点滴静注「JCR」は、日本国外のどの地域で開発・販売権の許諾契約が締結されていますか？,中東・トルコ・北アフリカの9ヵ国（サウジアラビア王国、アラブ首長国連邦、オマーン国、クウェート国、カタール国、バーレーン王国、トルコ共和国、イラク共和国、エジプト・アラブ共和国）に関して、Menagen Pharmaceutical Industries LLCと独占的な開発・販売権の許諾契約が締結されています。,02_08_ＪＣＲファーマ_2026年3月期 第3四半期 決算説明会 プレゼンテーション資料 .pdf,22,"中東・トルコ・北アフリカの9ヵ国*に関して Menagen Pharmaceutical Industries LLCと 独占的な開発・販売権の許諾契約を締結
*サウジアラビア王国、アラブ首長国連邦、オマーン国、クウェート国、カタール国、バーレーン王国、トルコ共和国、イラク共和国、エジプト・アラブ共和国"
74,この資料のタイトルは何ですか？,この資料のタイトルは「日本たばこ産業株式会社 2025年度 決算説明会」です。,02_09_ＪＴ_2025年度 決算説明会資料（Allプレゼンテーション） .pdf,1,日本たばこ産業株式会社2025年度 決算説明会
75,「将来に関する記述等についてのご注意」セクションで言及されている主なリスクにはどのようなものがありますか？,主なリスクとして、喫煙に関する健康上の懸念の増大、たばこに関する国内外の法令規則による規制等の導入・変更、国内外の訴訟の動向、たばこ事業以外へ多角化する当社の能力などが挙げられています。,02_09_ＪＴ_2025年度 決算説明会資料（Allプレゼンテーション） .pdf,2,1. 喫煙に関する健康上の懸念の増大2. たばこに関する国内外の法令規則による規制等の導入・変更(増税、たばこ製品の販売、国産葉たばこの買入れ義務、包装、ラベル、マーケティング及び使用に関する政府の規制等)、喫煙に関する民間規制及び政府による調査の影響等3. 国内外の訴訟の動向4. たばこ事業以外へ多角化する当社の能力
76,「JT Group 2025年度実績及び2026年度業績見込」のセクションは誰が担当しますか？,「JT Group 2025年度実績及び2026年度業績見込」のセクションは、JT Group CFOの古川博政氏が担当します。,02_09_ＪＴ_2025年度 決算説明会資料（Allプレゼンテーション） .pdf,3,03 JT Group 2025年度実績及び2026年度業績見込古川 博政JT Group CFO
77,2025年度の全社調整後営業利益（為替一定）はいくらでしたか、また前年度比でどのくらい増加しましたか？,"2025年度の全社調整後営業利益（為替一定）は9,275億円で、前年度比+24.9%でした。",02_09_ＪＴ_2025年度 決算説明会資料（Allプレゼンテーション） .pdf,5,"全社 調整後営業利益(為替一定)19,275億円前年度比:+24.9%"
78,グラフによると、2025年の一株当たり年間配当金（円）はいくらでしたか？,グラフによると、2025年の一株当たり年間配当金は234円でした。,02_09_ＪＴ_2025年度 決算説明会資料（Allプレゼンテーション） .pdf,6,234
79,JTグループのPurposeは何ですか？,JTグループのPurposeは「心の豊かさを、もっと。」です。,02_09_ＪＴ_2025年度 決算説明会資料（Allプレゼンテーション） .pdf,7,JT Group Purpose心の豊かさを、もっと。
80,株主還元方針における配当性向の目安は何パーセントですか？,資本市場における競争力ある水準として、配当性向75%を目安としています。,02_09_ＪＴ_2025年度 決算説明会資料（Allプレゼンテーション） .pdf,8,・ 資本市場における競争力ある水準3として、配当性向75%を目安とする
81,マテリアリティに紐づくサステナビリティターゲットはいくつありますか？,マテリアリティに紐づくサステナビリティターゲットは24項目です。,02_09_ＪＴ_2025年度 決算説明会資料（Allプレゼンテーション） .pdf,9,マテリアリティに紐づく Sustainability Targets (24項目)
82,経営計画期間中（2026-2028年）の中長期的な利益成長目標は何ですか？,経営計画期間中（2026-2028年）の中長期的な利益成長目標は「High single digit*」です。,02_09_ＪＴ_2025年度 決算説明会資料（Allプレゼンテーション） .pdf,10,経営計画期間中(2026-2028年)の見通しHigh single digit*
83,2025年12月時点で、「Heated Products ploom」は何市場で展開されていますか？,2025年12月時点で、「Heated Products ploom」は28市場で展開されています。,02_09_ＪＴ_2025年度 決算説明会資料（Allプレゼンテーション） .pdf,11,Heated Products ploom28markets
84,2025年のRRP関連売上収益はいくらでしたか？,"2025年のRRP関連売上収益は1,225億円でした。",02_09_ＪＴ_2025年度 決算説明会資料（Allプレゼンテーション） .pdf,12,"1,225"
