q_id,question,reference_answer,target_file,target_page,evidence_text
16,AI利活用における民事責任の在り方に関する研究会の座長は誰ですか？,大塚直氏です。,03_13_資料2　構成員等名簿（PDF形式：96KB）.pdf,1,座長大塚直早稲田大学法学学術院教授
17,「AI利活用における民事責任の在り方に関する研究会 事務局説明資料」は、いつ作成されましたか？,2025年8月19日に作成されました。,"03_14_資料3　事務局説明資料（PDF形式：1,338KB）.pdf",1,2025年8月19日
18,本研究会で検討対象となる想定事例1は何ですか？,想定事例1は、判断補助AI（通常業務）です。,"03_14_資料3　事務局説明資料（PDF形式：1,338KB）.pdf",2,2.想定事例1:判断補助AI(通常業務)
19,AIの利活用に伴う民事責任に関する現状の課題として、「予測可能性の向上」の項目で指摘されている問題点は何ですか？,AI利活用に伴う不法行為法・製造物責任法の解釈適用が不明瞭であり、利用や開発への萎縮効果が生じることです。,"03_14_資料3　事務局説明資料（PDF形式：1,338KB）.pdf",3,AI利活用に伴う不法行為法・製造物責任法の解釈適用が不明瞭→利用や開発への萎縮効果
20,本研究会における「責任論」の検討対象には、どのような内容が含まれますか？,不法行為法及び製造物責任法を中心としつつ、契約上の債務不履行責任等が含まれます。,"03_14_資料3　事務局説明資料（PDF形式：1,338KB）.pdf",4,「責任論」の内容としては、不法行為法及び製造物責任法を中心としつつ、契約上の債務不履行責任等を含む
21,検討対象ユースケースにおいて、「人の行為や判断にAIを活用する類型」の具体例として、チャットボットAIの出力内容をサービスの内容に組み込むケースの他に何が挙げられていますか？,画像生成AIが生成した画像を自己の創作として公表するケースや、審査業務にAIを活用し迅速化・効率化を図るケースが挙げられています。,"03_14_資料3　事務局説明資料（PDF形式：1,338KB）.pdf",5,画像生成AIが生成した画像を自己の創作として公表するケース審査業務にAIを活用し迅速化・効率化を図るケース
22,一般不法行為（民法709条）の要件のうち、「故意又は過失」の概要は何と説明されていますか？,行為者が損害の発生を予見し得たか（予見可能性）と、それを回避する義務が存在したか（結果回避義務）と説明されています。,"03_14_資料3　事務局説明資料（PDF形式：1,338KB）.pdf",6,行為者が損害の発生を予見し得たか(予見可能性)、それを回避する義務が存在したか(結果回避義務)
23,本資料のタイトルは何ですか？,AI利活用における民事責任の在り方に関する研究会 事務局説明資料,"03_15_資料3　事務局説明資料（PDF形式：2,122KB）.pdf",1,AI利活用における民事責任の在り方に関する研究会事務局説明資料
24,本資料が発行された日付は何ですか？,2025年10月1日,"03_15_資料3　事務局説明資料（PDF形式：2,122KB）.pdf",1,2025年10月1日
25,本資料を作成した部署は何ですか？,商務情報政策局 情報経済課,"03_15_資料3　事務局説明資料（PDF形式：2,122KB）.pdf",1,商務情報政策局 情報経済課
26,第1回研究会での意見によると、「準則」よりも成果物の名称として適切とされた表現は何ですか？,「解釈の指針」や「考え方」,"03_15_資料3　事務局説明資料（PDF形式：2,122KB）.pdf",3,「準則」より、「解釈の指針」や「考え方」等の表現が適切ではないか。
27,想定事例3の画像認識AIにおいて、特定の条件下で1mm以上の異物に対する検出確率は何%でしたか？,約98%,"03_15_資料3　事務局説明資料（PDF形式：2,122KB）.pdf",6,上記AIは特定の条件下で1mm以上の異物に対する検出確率約98%となるように調整されていた。
28,想定事例3で、AIが見逃したカッターナイフの刃先の長さは何cmでしたか？,2cm,"03_15_資料3　事務局説明資料（PDF形式：2,122KB）.pdf",6,バッグに混入したカッターナイフの刃先(2cm)をBが発見できず
29,参考裁判例①によると、検針作業の精度に関して、債務の内容となるのはどのような水準ですか？,平均的な注意力を有する者が同種作業で通常発見可能な異物の大部分を発見する程度の精度,"03_15_資料3　事務局説明資料（PDF形式：2,122KB）.pdf",10,平均的な注意力を有する者が同種作業で通常発見可能な異物の大部分を発見する程度の精度を有することが債務の内容となると判断した。
30,想定事例1及び2に関する論点において、AIの出力が規定される3つの要素は何ですか？,学習用データ、ユーザが入力したプロンプト、RAG等で参照される外部データベース,"03_15_資料3　事務局説明資料（PDF形式：2,122KB）.pdf",4,AIの出力は、学習用データ、ユーザが入力したプロンプト、RAG等で参照される外部データベースの3つの要素によって規定される。
31,想定事例4の画像生成AIの開発に用いられた公開データセットには、約何億枚の画像が含まれていましたか？,約10億枚,"03_15_資料3　事務局説明資料（PDF形式：2,122KB）.pdf",16,AI開発ベンダD社は、約10億枚の画像が含まれている公開データセットを用いた画像生成AIを開発・提供していた。
32,「AI利活用における民事責任の在り方に関する研究会 事務局説明資料」は、いつ作成されましたか？,2026年1月14日に作成されました。,03_16_資料3　事務局説明資料（PDF形式：623KB）.pdf,1,2026年1月14日 商務情報政策局 情報経済課
33,第3回研究会での意見として、AIの判断内容がブラックボックスであることを理由に、利用者が過失責任を免れると考えることは妥当とされていますか？,AIの判断内容がブラックボックスであることを理由に、利用者が過失責任を免れると考えることは妥当でないとされています。,03_16_資料3　事務局説明資料（PDF形式：623KB）.pdf,3,AIの判断内容がブラックボックスであることを理由に、利用者が過失責任を免れると考えることは妥当でない。
34,報告書案の今後のスケジュールにおいて、英訳やパブリックコメント等の手続を進めるのはいつ頃を目処としていますか？,年度末を目処としています。,03_16_資料3　事務局説明資料（PDF形式：623KB）.pdf,6,英訳やパブリックコメント等の手続を進めた上、年度末を目処に公表
35,資料3のタイトルは何ですか？,AI利活用における民事責任の在り方に関する研究会 事務局説明資料です。,03_17_資料3　事務局説明資料（PDF形式：998KB）.pdf,1,AI利活用における民事責任の在り方に関する研究会事務局説明資料
36,この資料はいつ作成されましたか？,2025年12月3日に作成されました。,03_17_資料3　事務局説明資料（PDF形式：998KB）.pdf,1,2025年12月3日
37,第2回研究会において、AIサービス開発事業者Aと検品受託者Bの注意義務についてどのような意見がありましたか？,基本的に異存はないという意見がありました。,03_17_資料3　事務局説明資料（PDF形式：998KB）.pdf,3,AIサービス開発事業者A、検品受託者Bの注意義務について、基本的に異存はない。
38,第2回研究会で、過失判断の対象が質的に転換するとされたのは、どのような内容からどのような内容への転換ですか？,「人間による個々の検査結果の確認」から「AIが望ましい作動をするためのシステム設計・運用」へと転換するとされています。,03_17_資料3　事務局説明資料（PDF形式：998KB）.pdf,3,過失判断の対象が、「人間による個々の検査結果の確認」から「ΑΙが望ましい作動をするためのシステム設計・運用」へと質的に転換するとの理解が広く支持された
39,第2回研究会で、想定事例1から3の整理についてどのような指摘がなされましたか？,従来の過失判断に沿った整理が可能であること、AI開発者の義務がAI利用者との合意で規定されるという内容が妥当であること、資料14頁右側の4つの考慮要素は場面に応じて使い分けることが必要であること等が指摘されました。,03_17_資料3　事務局説明資料（PDF形式：998KB）.pdf,4,想定事例1から3の整理について、従来の過失判断に沿った整理が可能である、A)のAI開発者の義務はB)でも妥当し、B)のAI開発者の義務がAI利用者との合意で規定されるという内容はA)でも妥当する、資料14頁右側の4つの考慮要素は場面に応じて使い分けることが必要である、等の指摘がなされた。
40,想定事例5におけるAIサービス開発事業者Aが開発・提供しているAIの機能は何ですか？,賃貸物件の入居申込者の信用スコアを算出し、①合格、②最終的な合否を人が判断する、③不合格の3ランクに分類する機能です。,03_17_資料3　事務局説明資料（PDF形式：998KB）.pdf,6,AIサービス開発事業者A社は、賃貸物件の入居申込者の信用スコアを算出する入居審査AIを開発・提供している。当該AIサービスでは、利用者である不動産業者が入居申込者に関する所定の情報をインプットすると、当該情報に基づき信用スコアを定量的に算出した上で、①合格、②最終的な合否を人が判断する、③不合格の3ランクに分類する。
41,入居審査AIにおける統計的バイアスに関して、AIの出力が差別的な取引拒絶に繋がった場合、どのような可能性があるとされていますか？,AIの出力が差別的な取引拒絶に繋がった場合には、AIサービス開発事業者A及び/又は不動産業者Bの不法行為を構成する可能性があります。,03_17_資料3　事務局説明資料（PDF形式：998KB）.pdf,7,AIの出力が差別的な取引拒絶に繋がった場合には、A及び/又はBの不法行為を構成する可能性がある。
42,従来の取引拒絶型の裁判例において、違法と評価されたのは主にどのような場合ですか？,主にセンシティブ属性を直接的に取引拒絶の根拠とした場合です。,03_17_資料3　事務局説明資料（PDF形式：998KB）.pdf,8,結論として違法と評価されたのは、主にセンシティブ属性を直接的に取引拒絶の根拠とした場合であり
43,審査にAIを用いる場合の特殊性として、「ルールベースの審査を行っていないこと」とは具体的にどのようなことですか？,AIは評価対象者に関する要素を総合的に考慮し、個別にリスク要因の有無や程度を判断しているに過ぎず、「センシティブ属性を不利に評価する」といった評価基準に沿って審査しているわけではないことです。,03_17_資料3　事務局説明資料（PDF形式：998KB）.pdf,11,AIは評価対象者に関する要素を総合的に考慮し、個別にリスク要因の有無や程度を判断しているに過ぎず、「センシティブ属性を不利に評価する」といった評価基準に沿って審査しているわけではない。
44,AIの統計的バイアスの公平性を評価する指標として、「機会の公平性（Equal Opportunity）」は何を視点としていますか？,実際に合格すべき人をAIが合格と判定できた割合が属性によらず同じであるかを視点としています。,03_17_資料3　事務局説明資料（PDF形式：998KB）.pdf,12,"実際に合格すべき(正解ラベルが1の)人をAIが合格と判定できた割合(True Positive Rate, “TPR”)が属性によらず同じであるか"
45,想定事例6におけるAMRの最高速度はどのくらいですか？,最高速度は1.2m/秒です。,03_17_資料3　事務局説明資料（PDF形式：998KB）.pdf,21,当該AMRは重量300kg・可搬重量500kg、最高速度1.2m/秒(人が歩く程度の速度)で稼働し
46,製造物責任法における「欠陥」の三類型は何ですか？,製造上の欠陥、設計上の欠陥、指示・警告上の欠陥の三類型です。,03_17_資料3　事務局説明資料（PDF形式：998KB）.pdf,24,一般に、欠陥は以下の三類型に整理して説明される。製造上の欠陥、設計上の欠陥、指示・警告上の欠陥
